location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,reg_BRUXELLES,reg_VLAANDEREN,reg_WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
1000,APARTMENT,APARTMENT,175000,1,34,1,1,0,1,1,0,,,2,0,GOOD,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9000,HOUSE,HOUSE,685000,2,144,1,0,0,0,,1,14,70,2,0,AS_NEW,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,16,16,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1040,APARTMENT,APARTMENT,269000,2,87,1,0,0,1,2,0,,,2,0,AS_NEW,Etterbeek,Non,ETTERBEEK,BRUXELLES,BRUXELLES,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1050,APARTMENT,FLAT_STUDIO,215000,0,40,1,0,0,1,5,0,,,2,0,JUST_RENOVATED,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,5,5,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,APARTMENT,PENTHOUSE,1450000,2,219,0,0,0,1,35,0,,,,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,35,35,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9300,APARTMENT,APARTMENT,385435,2,132,1,0,0,1,51,1,62,,3,0,,Aalst,Non,AALST,FLANDRE-ORIENTALE,VLAANDEREN,51,51,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7500,APARTMENT,APARTMENT,247107,3,105,1,0,0,1,16,1,,,2,0,,Tournai,Non,TOURNAI,HAINAUT,WALLONIE,16,200,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9700,APARTMENT,APARTMENT,311230,2,108,0,0,0,1,11,0,,,4,0,,Oudenaarde,Non,OUDENAARDE,FLANDRE-ORIENTALE,VLAANDEREN,11,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2275,APARTMENT,APARTMENT,240450,2,85,1,0,0,1,26,0,,,2,0,,Lille,Non,LILLE,ANVERS,VLAANDEREN,26,26,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9040,APARTMENT,APARTMENT,354000,4,140,1,0,0,1,8,0,,,,0,AS_NEW,Sint-Amandsberg,Oui,GENT,FLANDRE-ORIENTALE,VLAANDEREN,8,8,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2850,APARTMENT,APARTMENT,400000,2,129,0,0,0,1,,0,,,4,0,AS_NEW,Boom,Non,BOOM,ANVERS,VLAANDEREN,16,16,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6180,APARTMENT,APARTMENT,129000,2,135,0,0,0,0,,0,,,,0,AS_NEW,Courcelles,Non,COURCELLES,HAINAUT,WALLONIE,16,16,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1420,APARTMENT,APARTMENT,285000,3,105,1,0,0,1,10,0,,,,0,GOOD,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE,10,10,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1970,APARTMENT,APARTMENT,335000,2,90,1,0,0,1,10,0,,,,0,AS_NEW,Wezembeek-Oppem,Non,WEZEMBEEK-OPPEM,BRABANT FLAMAND,VLAANDEREN,10,10,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1000,APARTMENT,APARTMENT,329000,2,90,1,0,0,0,,0,,,4,0,TO_BE_DONE_UP,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES,16,16,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4500,HOUSE,HOUSE,549000,5,260,1,0,1,1,38,1,3250,3961,4,0,GOOD,Huy,Non,HUY,LIEGE,WALLONIE,38,38,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,APARTMENT,APARTMENT,1600000,3,154,1,0,0,1,18,0,,,2,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,18,18,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9890,HOUSE,HOUSE,516000,4,274,1,0,0,0,,0,,447,4,0,AS_NEW,Gavere,Non,GAVERE,FLANDRE-ORIENTALE,VLAANDEREN,16,16,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1300,HOUSE,HOUSE,400000,4,210,1,0,1,1,,1,,598,,0,TO_BE_DONE_UP,Wavre,Non,WAVRE,BRABANT WALLON,WALLONIE,16,200,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3140,HOUSE,HOUSE,445000,5,191,1,0,0,0,,1,1500,2000,4,0,GOOD,Keerbergen,Non,KEERBERGEN,BRABANT FLAMAND,VLAANDEREN,16,16,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1480,HOUSE,HOUSE,412000,3,218,1,0,1,1,70,1,462,462,3,0,JUST_RENOVATED,Tubize,Non,TUBIZE,BRABANT WALLON,WALLONIE,70,70,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1700,APARTMENT,APARTMENT,252000,1,73,0,0,0,0,,0,,,,0,,Dilbeek,Non,DILBEEK,BRABANT FLAMAND,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8630,APARTMENT,PENTHOUSE,449000,2,111,0,0,0,1,,0,,,,0,,Veurne,Non,VEURNE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1180,APARTMENT,APARTMENT,515000,2,108,1,0,0,1,21,1,,,4,0,AS_NEW,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES,21,200,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1160,HOUSE,HOUSE,495000,3,145,1,0,0,1,13,1,115,237,3,0,TO_RENOVATE,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES,13,13,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1780,HOUSE,HOUSE,375000,2,166,1,0,0,1,,0,,74,3,0,GOOD,Wemmel,Non,WEMMEL,BRABANT FLAMAND,VLAANDEREN,16,16,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1060,APARTMENT,APARTMENT,250000,1,55,1,0,0,1,2,0,,,2,0,GOOD,Saint-Gilles,Non,SAINT-GILLES,BRUXELLES,BRUXELLES,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9290,HOUSE,HOUSE,275000,3,135,1,0,0,1,,1,,0,3,0,TO_BE_DONE_UP,Berlare,Non,BERLARE,FLANDRE-ORIENTALE,VLAANDEREN,16,200,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7141,HOUSE,HOUSE,110000,2,149,1,0,0,1,,0,,375,2,0,TO_RENOVATE,Carnières,Oui,MORLANWELZ,HAINAUT,WALLONIE,16,16,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7542,HOUSE,FARMHOUSE,1045000,4,354,1,0,0,1,50,0,,1472,4,1,AS_NEW,Mont-Saint-Aubert,Oui,TOURNAI,HAINAUT,WALLONIE,50,50,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6982,HOUSE,VILLA,650000,5,300,1,1,1,0,,1,,2180,4,0,AS_NEW,Samrée,Oui,LA ROCHE-EN-ARDENNE,LUXEMBOURG,WALLONIE,16,200,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6840,APARTMENT,APARTMENT,187900,2,83,1,0,0,1,6,0,,,,0,,Neufchâteau,Non,NEUFCHÂTEAU,LUXEMBOURG,WALLONIE,6,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
