postalCode,Commune,Sous_Commune,Commune_Principale,Province,Region
1600,Oudenaken,Oui,SINT-PIETERS-LEEUW,BRABANT FLAMAND,VLAANDEREN
1600,Sint-Laureins-Berchem,Oui,SINT-PIETERS-LEEUW,BRABANT FLAMAND,VLAANDEREN
1600,Sint-Pieters-Leeuw,Non,SINT-PIETERS-LEEUW,BRABANT FLAMAND,VLAANDEREN
1601,Ruisbroek,Oui,SINT-PIETERS-LEEUW,BRABANT FLAMAND,VLAANDEREN
1602,Vlezenbeek,Oui,SINT-PIETERS-LEEUW,BRABANT FLAMAND,VLAANDEREN
1620,Drogenbos,Non,DROGENBOS,BRABANT FLAMAND,VLAANDEREN
1630,Linkebeek,Non,LINKEBEEK,BRABANT FLAMAND,VLAANDEREN
1640,Rhode-Saint-Genèse,Non,RHODE-SAINT-GENÈSE,BRABANT FLAMAND,VLAANDEREN
1650,Beersel,Non,BEERSEL,BRABANT FLAMAND,VLAANDEREN
1651,Lot,Oui,BEERSEL,BRABANT FLAMAND,VLAANDEREN
1652,Alsemberg,Oui,BEERSEL,BRABANT FLAMAND,VLAANDEREN
1653,Dworp,Oui,BEERSEL,BRABANT FLAMAND,VLAANDEREN
1654,Huizingen,Oui,BEERSEL,BRABANT FLAMAND,VLAANDEREN
1670,Bogaarden,Oui,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
1670,Heikruis,Oui,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
1670,Pepingen,Non,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
